,1,2,3,4,5
10,3.0994415283203125e-06,1.9073486328125e-06,1.3113021850585938e-05,0.00036215782165527344,0.0025091171264648438
20,1.9073486328125e-06,9.5367431640625e-07,1.0967254638671875e-05,0.0003619194030761719,0.002499103546142578
30,2.6226043701171875e-06,1.1920928955078125e-06,1.0967254638671875e-05,0.0003650188446044922,0.002496957778930664
40,3.0994415283203125e-06,9.5367431640625e-07,1.0967254638671875e-05,0.00036406517028808594,0.002504110336303711
50,3.814697265625e-06,1.9073486328125e-06,1.0967254638671875e-05,0.0003609657287597656,0.002504110336303711
60,5.245208740234375e-06,2.1457672119140625e-06,1.1205673217773438e-05,0.00036215782165527344,0.00251007080078125
70,6.198883056640625e-06,2.1457672119140625e-06,1.0967254638671875e-05,0.0003628730773925781,0.00251007080078125
80,5.7220458984375e-06,2.1457672119140625e-06,1.0967254638671875e-05,0.0003612041473388672,0.0025038719177246094
90,6.9141387939453125e-06,2.1457672119140625e-06,1.1205673217773438e-05,0.0003609657287597656,0.002500772476196289
100,7.152557373046875e-06,3.0994415283203125e-06,1.2159347534179688e-05,0.0003788471221923828,0.002494335174560547
110,8.106231689453125e-06,2.1457672119140625e-06,1.1920928955078125e-05,0.0003631114959716797,0.0024979114532470703
120,8.106231689453125e-06,3.0994415283203125e-06,1.1920928955078125e-05,0.0003619194030761719,0.0024976730346679688
130,9.298324584960938e-06,2.86102294921875e-06,1.1920928955078125e-05,0.0003609657287597656,0.0025000572204589844
140,1.0013580322265625e-05,3.0994415283203125e-06,1.1205673217773438e-05,0.00036215782165527344,0.002518177032470703
150,1.0967254638671875e-05,4.291534423828125e-06,1.2159347534179688e-05,0.00037407875061035156,0.002501249313354492
160,1.0967254638671875e-05,4.0531158447265625e-06,1.0967254638671875e-05,0.00036406517028808594,0.0024979114532470703
170,1.2159347534179688e-05,3.0994415283203125e-06,1.1920928955078125e-05,0.0003628730773925781,0.0025081634521484375
180,1.1920928955078125e-05,3.0994415283203125e-06,1.1920928955078125e-05,0.00036406517028808594,0.0025107860565185547
190,1.2159347534179688e-05,4.0531158447265625e-06,1.1920928955078125e-05,0.0003600120544433594,0.002501964569091797
200,1.4066696166992188e-05,4.0531158447265625e-06,1.1920928955078125e-05,0.0003631114959716797,0.0025060176849365234
210,1.4066696166992188e-05,3.814697265625e-06,1.1682510375976562e-05,0.0003628730773925781,0.002504110336303711
220,1.52587890625e-05,3.814697265625e-06,1.1920928955078125e-05,0.0003628730773925781,0.002502918243408203
230,1.52587890625e-05,5.245208740234375e-06,1.2159347534179688e-05,0.0003628730773925781,0.0025069713592529297
240,1.5735626220703125e-05,4.76837158203125e-06,1.1920928955078125e-05,0.0003628730773925781,0.002516031265258789
250,1.811981201171875e-05,4.76837158203125e-06,1.3113021850585938e-05,0.0003628730773925781,0.00251007080078125
260,1.7881393432617188e-05,5.245208740234375e-06,1.2159347534179688e-05,0.0003628730773925781,0.002516031265258789
270,1.9311904907226562e-05,5.0067901611328125e-06,1.2159347534179688e-05,0.00036525726318359375,0.0025091171264648438
